ATIVIDADE,INTERDIÇÃO,QUANTIDADE,,INICIO,TÉRMINO,PLAN,SEMANA 01,,,,,SEMANA 02,,,,,SEMANA 03,,,,,,SEMANA 04,,,,,,SEMANA 05,,,,,SEMANA 06,,,,,,SEMANA 07,,,,,,SEMANA 08,,,,,,SEMANA 09,,,,,,,,,,,,
,,,EQUIPE ,,,,2-Mar,3-Mar,4-Mar,5-Mar,6-Mar,9-Mar,10-Mar,11-Mar,12-Mar,13-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,30-Mar,31-Mar,1-Apr,2-Apr,3-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May,,,,,,,,
Remoção de pavimento asfáltico (m²),1,800.00,A,3/2/26,4/10/26,PREVISTO,,,0.00,112.00,FERIADO,68.00,72.00,0.00,82.00,0.00,0.00,107.00,0.00,0.00,0.00,34.00,65.00,65.00,65.00,65.00,65.00,,,,,,FERIADO,,,,,,,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remoção de pavimento granitico (m²),1,325.00,A,3/2/26,4/10/26,PREVISTO,,,0.00,0.00,FERIADO,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,65.00,65.00,65.00,65.00,65.00,,,,,,FERIADO,,,,,,,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escavação (m³),1,422.00,A,3/2/26,4/10/26,PREVISTO,,,,,FERIADO,48.00,42.00,25.00,20.00,20.00,34.00,13.00,28.00,25.00,15.00,24.00,0.00,25.60,25.60,25.60,25.60,25.60,,,,,FERIADO,,,,,,,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmonte de Rocha (m³),1,63.30,A,3/3/26,4/13/26,PREVISTO,,,,,FERIADO,,4.80,5.00,5.00,5.00,1.00,1.00,2.00,0.00,3.00,5.00,3.00,2.00,3.00,2.00,3.00,2.00,3.00,2.00,3.00,2.00,FERIADO,2.00,4.50,,,,,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Assentamento de tubulação (m),1,400.00,A,3/4/26,4/14/26,PREVISTO,,,,,FERIADO,30.00,6.00,30.00,12.00,6.00,6.00,24.00,12.00,0.00,42.00,12.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,FERIADO,16.00,16.00,16.00,12.00,,,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
